Date,check,lhs_Tdays,lhs_delta,rhs_Tdays,rhs_delta,lhs_p_hat,rhs_p_hat,lhs_se,rhs_se,combined_se,diff_lhs_minus_rhs,z_diff,raw_violation,sigma_violation
2008-01-08,horizon_monotone_d20,60,0.2,20,0.2,0.1809316328424954,0.0295995156940131,0.0037754936396835,0.0010563091374543,0.003920477167024444,0.1513321171484823,38.600433238421346,False,False
2008-01-08,horizon_monotone_d30,60,0.3,20,0.3,0.0066696454721769,9.947155599305525e-06,0.0003090795250407,1.267355017570444e-06,0.00030908212337196934,0.006659698316577594,21.546695240484304,False,False
2008-01-09,delta_monotone_T20,20,0.2,20,0.3,0.0206805949007585,4.863504178269995e-06,0.0007891367014064,6.832855124534946e-07,0.0007891369972227037,0.02067573139658023,26.20043347270068,False,False
2008-01-09,delta_monotone_T60,60,0.2,60,0.3,0.1423110036712302,0.0054272646845795,0.0033150584933004,0.0002778606988028,0.0033266829397978854,0.1368837389866507,41.14721524828187,False,False
2008-01-09,horizon_monotone_d20,60,0.2,20,0.2,0.1423110036712302,0.0206805949007585,0.0033150584933004,0.0007891367014064,0.003407689766910963,0.12163040877047171,35.692923091625346,False,False
2008-01-09,horizon_monotone_d30,60,0.3,20,0.3,0.0054272646845795,4.863504178269995e-06,0.0002778606988028,6.832855124534946e-07,0.0002778615389331022,0.00542240118040123,19.514759765678562,False,False
2008-01-10,delta_monotone_T20,20,0.2,20,0.3,0.0066936691892012,3.005291139076374e-07,0.0003237208871207,5.8486709268535235e-08,0.00032372089240410195,0.006693368660087292,20.676356754051994,False,False
2008-01-10,delta_monotone_T60,60,0.2,60,0.3,0.0932183412968604,0.001984837356358,0.0023956592942658,0.0001181915682534,0.002398573055174328,0.09123350394050239,38.036575014335575,False,False
2008-01-10,horizon_monotone_d20,60,0.2,20,0.2,0.0932183412968604,0.0066936691892012,0.0023956592942658,0.0003237208871207,0.002417432246612162,0.0865246721076592,35.79197399592754,False,False
2008-01-10,horizon_monotone_d30,60,0.3,20,0.3,0.001984837356358,3.005291139076374e-07,0.0001181915682534,5.8486709268535235e-08,0.0001181915827243771,0.0019845368272440925,16.790847381002035,False,False
2008-01-11,delta_monotone_T20,20,0.2,20,0.3,0.0096952402809482,5.445328225330268e-07,0.0004135736750501,9.711958258828629e-08,0.0004135736864534046,0.009694695748125667,23.441277976997025,False,False
2008-01-11,delta_monotone_T60,60,0.2,60,0.3,0.1098808016377202,0.0027094067435902,0.0027238814750762,0.0001515151965982,0.0027280922171113438,0.10717139489413,39.28437397457519,False,False
2008-01-11,horizon_monotone_d20,60,0.2,20,0.2,0.1098808016377202,0.0096952402809482,0.0027238814750762,0.0004135736750501,0.002755099539936396,0.100185561356772,36.363681204449286,False,False
2008-01-11,horizon_monotone_d30,60,0.3,20,0.3,0.0027094067435902,5.445328225330268e-07,0.0001515151965982,9.711958258828629e-08,0.0001515152277244915,0.002708862210767667,17.87848159851854,False,False
2008-01-14,delta_monotone_T20,20,0.2,20,0.3,0.0067811351299804,4.3686038114632893e-07,0.0003152994389591,8.627310459483942e-08,0.00031529945076224253,0.006780698269599254,21.5055822431875,False,False
2008-01-14,delta_monotone_T60,60,0.2,60,0.3,0.0939275297662379,0.0020435726995065,0.0024736560740928,0.000131292934538,0.0024771379064468337,0.0918839570667314,37.09279036407313,False,False
2008-01-14,horizon_monotone_d20,60,0.2,20,0.2,0.0939275297662379,0.0067811351299804,0.0024736560740928,0.0003152994389591,0.0024936696070458346,0.08714639463625751,34.94704927630604,False,False
2008-01-14,horizon_monotone_d30,60,0.3,20,0.3,0.0020435726995065,4.3686038114632893e-07,0.000131292934538,8.627310459483942e-08,0.0001312929628831954,0.0020431358391253536,15.561655356525288,False,False
2008-01-15,delta_monotone_T20,20,0.2,20,0.3,0.0290318827353323,6.302890082658292e-06,0.0010198655967555,8.952303926797719e-07,0.0010198659896686957,0.029025579845249644,28.460190004648187,False,False
2008-01-15,delta_monotone_T60,60,0.2,60,0.3,0.1778020644716562,0.0063249833719686,0.0037636480380744,0.000317171385665,0.0037769887797537787,0.1714770810996876,45.40047405458964,False,False
2008-01-15,horizon_monotone_d20,60,0.2,20,0.2,0.1778020644716562,0.0290318827353323,0.0037636480380744,0.0010198655967555,0.0038993810265151997,0.1487701817363239,38.152255633576,False,False
